9956,9.64,48414
-3.48,0.01,9.60,7057
-4.16,-0.62,9.25,7080
-3.60,0.00,9.07,7104
-3.57,-0.55,9.67,7128
-3.79,0.03,9.23,7150
-3.87,-0.34,9.22,7175
-3.95,-0.11,9.22,7198
-3.80,-0.27,9.22,7222
-3.55,-0.39,9.40,7246
-3.88,-0.24,9.22,7270
-3.81,-0.06,9.55,7293
-3.34,-0.30,9.34,7318
-3.62,0.09,9.48,7341
-4.12,-0.24,9.29,7364
-3.92,0.00,9.22,7388
-3.93,-0.26,9.19,7411
-3.84,-0.66,9.05,7436
-4.33,-0.64,9.10,7459
-4.12,0.07,9.27,7482
-4.55,0.02,9.20,7505
-4.33,-0.37,9.21,7529
-3.59,-0.70,9.12,7553
-4.72,-0.66,9.22,7577
-4.38,-0.95,9.16,7601
-3.26,-0.32,9.24,7624
-4.24,-1.01,8.90,7649
-4.08,0.22,9.23,7671
-3.71,-0.25,9.17,7695
-3.68,-0.61,9.45,7719
-4.28,0.25,9.40,7742
-4.08,0.38,9.30,7764
-4.06,-0.96,9.03,7789
-4.03,-1.09,8.89,7813
-4.11,-0.87,8.96,7837
-3.63,0.05,9.12,7860
-3.94,1.09,9.44,7882
-3.76,1.20,9.69,7906
-4.56,-1.75,8.96,7929
-3.62,-0.32,8.86,7953
-3.61,0.41,9.19,7976
-4.19,0.84,9.60,7999
-4.33,-1.21,8.64,8023
-4.26,-1.74,8.74,8047
-3.66,-1.13,9.18,8071
-4.22,0.32,9.94,8093
-4.05,0.14,9.64,8117
-3.64,-0.56,9.16,8140
-3.76,0.27,8.99,8163
-3.41,-0.41,8.87,8187
-4.04,-0.23,9.54,8211
-4.26,-1.30,9.11,8236
-3.79,-0.70,9.02,8259
-3.13,0.35,9.31,8282
-3.39,0.05,9.08,8305
-3.59,-0.72,8.94,8329
-3.34,-0.21,9.27,8352
-3.22,0.47,9.22,8376
-3.28,-0.58,9.07,8399
-2.73,0.40,10.40,8423
-3.32,-0.03,9.50,8448
-3.79,-0.18,8.85,8471
-3.32,-0.11,9.37,8495
-3.48,-0.51,9.40,8519
-3.45,-0.85,9.20,8543
-3.37,-0.96,9.22,8567
-3.16,0.22,9.38,8590
-3.34,-1.30,9.43,8613
-3.57,-1.18,9.52,8638
-3.28,-0.20,9.26,8662
-3.28,-0.41,9.66,8685
-3.27,0.54,9.25,8709
-3.67,-1.48,9.27,8732
-3.34,-0.91,9.52,8756
-3.64,-0.01,9.57,8780
-3.51,-0.11,9.40,8804
-3.31,0.06,9.05,8826
-3.61,-0.62,8.69,8851
-3.10,0.04,9.43,8873
-3.05,0.19,8.98,8896
-3.36,-0.41,8.99,8921
-3.27,-0.23,9.28,8944
-3.69,-0.35,9.39,8969
-3.17,-0.45,9.16,8992
-3.33,-0.81,9.62,9016
-3.30,0.15,9.09,9039
-2.84,-0.40,9.59,9063
-3.12,0.08,9.67,9085
-3.23,-0.81,9.33,9110
-3.27,-0.11,9.50,9134
-3.15,-0.30,8.89,9157
-3.42,-0.10,9.22,9182
-3.09,-0.25,9.56,9205
-3.15,-0.13,9.29,9229
-2.89,0.09,9.11,9252
-3.31,-1.29,9.82,9276
-3.15,-0.42,9.81,9300
-3.29,-0.43,9.67,9324
-2.81,0.00,9.78,9347
-3.12,-0.08,9.79,9371
-2.93,-0.16,9.77,9395
-2.62,-0.25,9.42,9418
-2.94,-0.22,9.90,9443
-2.62,-0.13,9.68,9466
-2.92,0.10,9.02,9489
-2.67,0.17,9.13,9512
-2.66,0.33,9.29,9535
-2.74,-0.25,8.93,9559
-2.98,0.35,9.30,9582
-2.62,0.04,9.13,9605
-2.65,-0.56,9.15,9628
-2.91,-0.42,9.20,9653
-2.81,-0.73,9.61,9676
-3.02,-0.07,9.59,9701
-2.87,0.08,9.17,9723
-2.81,-1.11,9.46,9747
-2.38,0.52,9.84,9771
-2.71,0.16,9.81,9793
-2.74,-1.09,9.41,9817
-2.47,-0.21,9.41,9841
-2.48,-0.22,9.89,9865
-2.21,-0.10,9.77,9888
-2.48,-0.14,9.63,9913
-2.25,-0.92,9.38,9936
-2.50,0.14,9.41,9959
-2.21,-0.45,9.47,9984
-2.24,-0.28,9.25,10007
-1.97,0.00,10.00,10033
-2.55,-0.09,9.16,10057
-2.08,-0.22,9.55,10082
-2.53,-0.39,9.34,10107
-2.43,0.04,9.14,10131
-2.33,-0.10,9.47,10156
-2.50,0.33,8.98,10180
-2.17,-0.04,9.47,10205
-2.79,-1.13,9.34,10230
-2.61,-1.05,9.17,10255
-2.46,0.85,9.94,10278
-2.26,0.02,9.21,10303
-2.73,-0.03,9.11,10328
-2.03,-0.74,9.55,10352
-2.47,-0.34,9.16,10378
-2.37,-0.24,9.37,10402
-2.11,0.00,9.65,10426
-2.65,-0.51,9.38,10451
-2.12,-0.74,9.94,10476
-2.61,-0.14,9.18,10502
-2.18,-0.30,9.20,10526
-2.13,0.36,9.77,10550
-2.27,-0.11,9.52,10575
-2.33,-0.50,9.56,10600
-2.09,-0.64,9.77,10625
-2.01,-0.58,9.87,10650
-1.66,0.12,9.69,10674
-1.97,-0.83,9.36,10699
-2.24,-0.66,9.48,10724
-2.00,0.21,9.90,10747
-2.04,0.03,9.14,10772
-2.33,-0.43,9.58,10797
-2.42,-1.22,8.72,10821
-2.23,-0.75,9.00,10847
-2.14,0.80,9.11,10870
-2.00,0.05,9.65,10894
-2.11,-1.07,9.91,10919
-2.13,-0.92,9.48,10944
-2.33,-0.62,9.36,10970
-1.82,0.36,10.00,10994
-2.36,-0.40,9.33,11019
-2.32,-0.67,9.30,11044
-1.96,0.72,9.96,11068
-2.13,0.23,9.51,11091
-2.25,-0.81,9.27,11117
-2.47,-0.37,9.53,11142
-2.65,-0.87,9.14,11167
-2.71,0.11,9.54,11191
-2.54,-0.45,8.87,11215
-2.71,-0.70,8.62,11241
-2.26,-0.79,9.30,11266
-2.75,0.93,9.27,11289
-2.86,-0.18,8.48,11315
-2.80,0.70,9.17,11338
-2.68,0.06,9.24,11363
-2.51,-0.01,9.34,11387
-2.71,-0.21,9.67,11412
-2.77,-1.54,10.20,11439
-2.87,0.31,9.82,11462
-2.45,-0.66,10.27,11488
-2.95,-1.26,10.38,11514
-2.94,-1.13,10.93,11540
-3.80,-2.14,9.71,11566
-2.21,0.74,9.25,11589
-3.31,0.22,9.84,11613
-2.91,-1.58,9.02,11638
-2.86,0.90,8.30,11662
-3.43,-1.38,8.41,11686
-2.76,-0.89,9.64,11712
-3.08,0.74,9.19,11736
-2.78,-0.95,8.30,11761
-3.01,-2.12,8.77,11786
-3.03,0.06,8.95,11809
-3.17,-0.34,8.21,11835
-3.36,0.59,7.81,11858
-3.19,0.46,8.21,11882
-2.73,-0.23,9.94,11908
